agent_id,name,agency_id,phone,email,city,experience_years,active_listings,avg_rating,joined_date
AGT001,Lisa Hutapea,AGC04,08258181396,lisa.hutapea@century21sudir.co.id,Jakarta Pusat,20,10,4.77,2023-03-08
AGT002,Lukman Saputra,AGC15,08720576383,lukman.saputra@parahyanganrea.co.id,Bandung,20,13,4.49,2022-11-25
AGT003,Hadi Santoso,AGC03,08520709497,hadi.santoso@coldwellbanker.co.id,Jakarta Selatan,4,14,4.13,2022-02-16
AGT004,Anton Simanjuntak,AGC12,08638119557,anton.simanjuntak@ciputrasurabay.co.id,Surabaya,3,7,4.44,2017-09-29
AGT005,Cici Hutapea,AGC06,08595899313,cici.hutapea@propertijakart.co.id,Jakarta Barat,8,12,4.81,2023-09-14
AGT006,Tika Pratama,AGC02,08663843426,tika.pratama@raywhitekemang.co.id,Jakarta Selatan,7,20,4.85,2018-07-12
AGT007,Bella Cahyadi,AGC07,08796282117,bella.cahyadi@griyamasjakart.co.id,Jakarta Timur,9,6,4.1,2021-04-18
AGT008,Ayu Mulyono,AGC18,08788320463,ayu.mulyono@jogjaasriprope.co.id,Yogyakarta,8,6,4.41,2016-01-08
AGT009,Bayu Nugroho,AGC02,08366661351,bayu.nugroho@raywhitekemang.co.id,Jakarta Selatan,13,14,4.52,2020-04-01
AGT010,Wahyu Hakim,AGC17,08125374874,wahyu.hakim@raywhitebali.co.id,Bali,18,10,4.72,2018-10-25
AGT011,Kartika Lubis,AGC04,08370897765,kartika.lubis@century21sudir.co.id,Jakarta Pusat,9,18,4.71,2020-09-10
AGT012,Yanti Kurniawan,AGC04,08991734598,yanti.kurniawan@century21sudir.co.id,Jakarta Pusat,12,7,4.45,2023-09-25
AGT013,Budi Sasongko,AGC17,08675579548,budi.sasongko@raywhitebali.co.id,Bali,12,11,4.09,2017-09-13
AGT014,Tono Hidayat,AGC19,08819289546,tono.hidayat@matarampropert.co.id,Yogyakarta,5,6,4.59,2021-03-01
AGT015,Ayu Iskandar,AGC06,08738427073,ayu.iskandar@propertijakart.co.id,Jakarta Timur,10,14,4.99,2022-04-15
AGT016,Zaki Iskandar,AGC12,08826240908,zaki.iskandar@ciputrasurabay.co.id,Surabaya,3,12,3.83,2021-03-18
AGT017,Slamet Santoso,AGC08,08119528530,slamet.santoso@sinarmaslandma.co.id,Jakarta Selatan,2,9,3.88,2015-05-09
AGT018,Eko Setyawan,AGC11,08447376585,eko.setyawan@surabayaproper.co.id,Surabaya,7,19,3.96,2021-05-27
AGT019,Dedi Wibowo,AGC19,08864634663,dedi.wibowo@matarampropert.co.id,Yogyakarta,4,15,4.23,2019-08-11
AGT020,Wati Lestari,AGC15,08164038913,wati.lestari@parahyanganrea.co.id,Bandung,4,9,4.03,2021-01-05
AGT021,Maya Lubis,AGC15,08347385696,maya.lubis@parahyanganrea.co.id,Bandung,3,16,4.77,2021-03-04
AGT022,Wati Gunawan,AGC04,08122517517,wati.gunawan@century21sudir.co.id,Jakarta Selatan,6,15,4.38,2017-05-25
AGT023,Sari Hartono,AGC13,08710289289,sari.hartono@eradagobandung.co.id,Surabaya,15,11,4.31,2023-03-12
AGT024,Candra Cahyadi,AGC18,08335487660,candra.cahyadi@jogjaasriprope.co.id,Yogyakarta,2,20,4.68,2015-09-07
